Digits,Frecency(%)
1,31.48148148148148
2,13.82716049382716
3,12.716049382716049
4,11.049382716049383
5,9.012345679012345
6,6.790123456790123
7,5.679012345679013
8,4.2592592592592595
9,5.185185185185185
